variant,construction_sample,outcome,treatment,estimate,se,p_value,n,ward_pairs,pins
full_record_endpoint_minus_one_to_permit_year,all,density_far,continuous,-0.06694048791533004,0.03305416446967581,0.04499635062539894,4109,125,4109
full_record_endpoint_minus_one_to_permit_year,all,density_far,binary,-0.06805695523932073,0.05275013558116154,0.19939035829436638,4109,125,4109
full_record_endpoint_minus_one_to_permit_year,all,density_dupac,continuous,-0.042363715733589165,0.04177244570044046,0.31248378064347015,4109,125,4109
full_record_endpoint_minus_one_to_permit_year,all,density_dupac,binary,-0.06411939593788103,0.07004294185779847,0.36174283362972914,4109,125,4109
full_record_endpoint_minus_one_to_permit_year,multifamily,density_far,continuous,-0.23503805981300865,0.06867058901386554,9.271836919498905e-4,881,93,881
full_record_endpoint_minus_one_to_permit_year,multifamily,density_far,binary,-0.2684795349075736,0.09968818874327118,0.008410289536208341,881,93,881
full_record_endpoint_minus_one_to_permit_year,multifamily,density_dupac,continuous,-0.17284660370481758,0.05634448889094619,0.0028335633601999596,881,93,881
full_record_endpoint_minus_one_to_permit_year,multifamily,density_dupac,binary,-0.3162881169415693,0.1177311729841092,0.008567217030660388,881,93,881
full_record_latest_repeated_post_1999,all,density_far,continuous,-0.06614250161588198,0.03357559956034501,0.05107212015804438,4109,125,4109
full_record_latest_repeated_post_1999,all,density_far,binary,-0.06759482883890208,0.05331075005146261,0.20719500525761558,4109,125,4109
full_record_latest_repeated_post_1999,all,density_dupac,continuous,-0.042751155703230875,0.04142911009314717,0.30412226517304586,4109,125,4109
full_record_latest_repeated_post_1999,all,density_dupac,binary,-0.06980578623912402,0.06866935241263523,0.3113472058519714,4109,125,4109
full_record_latest_repeated_post_1999,multifamily,density_far,continuous,-0.23362999564164974,0.06752061672392894,8.203154966029471e-4,883,93,883
full_record_latest_repeated_post_1999,multifamily,density_far,binary,-0.24272167141046716,0.09602273773637336,0.01318495862630786,883,93,883
full_record_latest_repeated_post_1999,multifamily,density_dupac,continuous,-0.1742025140796381,0.05635554888780616,0.0026385700234379597,883,93,883
full_record_latest_repeated_post_1999,multifamily,density_dupac,binary,-0.3050449895784287,0.12087725477446275,0.013331488569822691,883,93,883
full_record_latest_report_all,all,density_far,continuous,-0.06618711462933864,0.03356081726991703,0.05081772209158985,4110,125,4110
full_record_latest_report_all,all,density_far,binary,-0.06767571383994672,0.05328375314502316,0.20642701421793605,4110,125,4110
full_record_latest_report_all,all,density_dupac,continuous,-0.04288125929141171,0.04138667215669849,0.30216588034621544,4110,125,4110
full_record_latest_report_all,all,density_dupac,binary,-0.07003822879984685,0.06858309601097509,0.3091398546536819,4110,125,4110
full_record_latest_report_all,multifamily,density_far,continuous,-0.23362999564164974,0.06752061672392894,8.203154966029471e-4,883,93,883
full_record_latest_report_all,multifamily,density_far,binary,-0.24272167141046716,0.09602273773637336,0.01318495862630786,883,93,883
full_record_latest_report_all,multifamily,density_dupac,continuous,-0.1742025140796381,0.05635554888780616,0.0026385700234379597,883,93,883
full_record_latest_report_all,multifamily,density_dupac,binary,-0.3050449895784287,0.12087725477446275,0.013331488569822691,883,93,883
full_record_latest_report_at_sample_end,all,density_far,continuous,-0.0648659802213795,0.03325813968543591,0.053387180134945304,4113,125,4113
full_record_latest_report_at_sample_end,all,density_far,binary,-0.06514846097358946,0.053183789347701745,0.22290898695816655,4113,125,4113
full_record_latest_report_at_sample_end,all,density_dupac,continuous,-0.04011579618950844,0.041890191449532974,0.3401068504862289,4113,125,4113
full_record_latest_report_at_sample_end,all,density_dupac,binary,-0.06347177684805244,0.07108932507822334,0.3736694402889368,4113,125,4113
full_record_latest_report_at_sample_end,multifamily,density_far,continuous,-0.23534939940390054,0.06915913131892747,9.884752190800399e-4,881,93,881
full_record_latest_report_at_sample_end,multifamily,density_far,binary,-0.25909844819931144,0.09888412014275064,0.010279575244937307,881,93,881
full_record_latest_report_at_sample_end,multifamily,density_dupac,continuous,-0.17610386324588603,0.05734925696855684,0.0028074686328088032,881,93,881
full_record_latest_report_at_sample_end,multifamily,density_dupac,binary,-0.3187074855715147,0.12173194830337337,0.010338947012060487,881,93,881
full_record_latest_report_through_2022,all,density_far,continuous,-0.0648659802213795,0.03325813968543591,0.053387180134945304,4113,125,4113
full_record_latest_report_through_2022,all,density_far,binary,-0.06514846097358946,0.053183789347701745,0.22290898695816655,4113,125,4113
full_record_latest_report_through_2022,all,density_dupac,continuous,-0.04011579618950844,0.041890191449532974,0.3401068504862289,4113,125,4113
full_record_latest_report_through_2022,all,density_dupac,binary,-0.06347177684805244,0.07108932507822334,0.3736694402889368,4113,125,4113
full_record_latest_report_through_2022,multifamily,density_far,continuous,-0.23534939940390054,0.06915913131892747,9.884752190800399e-4,881,93,881
full_record_latest_report_through_2022,multifamily,density_far,binary,-0.25909844819931144,0.09888412014275064,0.010279575244937307,881,93,881
full_record_latest_report_through_2022,multifamily,density_dupac,continuous,-0.17610386324588603,0.05734925696855684,0.0028074686328088032,881,93,881
full_record_latest_report_through_2022,multifamily,density_dupac,binary,-0.3187074855715147,0.12173194830337337,0.010338947012060487,881,93,881
full_record_latest_report_through_2025,all,density_far,continuous,-0.0661411448110113,0.03358723608639859,0.051156062598122054,4109,125,4109
full_record_latest_report_through_2025,all,density_far,binary,-0.06759882015652785,0.0534085334545746,0.2079958845660458,4109,125,4109
full_record_latest_report_through_2025,all,density_dupac,continuous,-0.04264667751365244,0.04146230229087321,0.3056862486965318,4109,125,4109
full_record_latest_report_through_2025,all,density_dupac,binary,-0.06922227796982842,0.0688801479225654,0.3168697971181732,4109,125,4109
full_record_latest_report_through_2025,multifamily,density_far,continuous,-0.2324867364333057,0.06685158837201542,7.743811444165188e-4,882,93,882
full_record_latest_report_through_2025,multifamily,density_far,binary,-0.24628317740907693,0.0940133575000044,0.010295312573362444,882,93,882
full_record_latest_report_through_2025,multifamily,density_dupac,continuous,-0.17338264829533323,0.05622738204213659,0.0026998042474510554,882,93,882
full_record_latest_report_through_2025,multifamily,density_dupac,binary,-0.30491657575596137,0.12078063910008932,0.013297696496146255,882,93,882
full_record_minimum_post_1999,all,density_far,continuous,-0.049543688930966,0.037800718238988354,0.19243639009494073,3857,123,3857
full_record_minimum_post_1999,all,density_far,binary,-0.05206992410968951,0.05678845375332947,0.36099858467831114,3857,123,3857
full_record_minimum_post_1999,all,density_dupac,continuous,-0.046535904432613164,0.052822404917234486,0.3800566012154065,3857,123,3857
full_record_minimum_post_1999,all,density_dupac,binary,-0.08106121872575074,0.07906677814643903,0.3072856539918665,3857,123,3857
full_record_minimum_post_1999,multifamily,density_far,continuous,-0.21051735628789364,0.06196240497170111,0.0010103356823335187,859,92,859
full_record_minimum_post_1999,multifamily,density_far,binary,-0.2577502545531278,0.10243428539862015,0.013613305463362974,859,92,859
full_record_minimum_post_1999,multifamily,density_dupac,continuous,-0.17128655469037216,0.04235926293228609,1.1003878851176026e-4,859,92,859
full_record_minimum_post_1999,multifamily,density_dupac,binary,-0.27675938422497165,0.09775982811919008,0.00571083751478955,859,92,859
full_record_modal_post_1999,all,density_far,continuous,-0.04848424758978509,0.034489699925951654,0.16229607908489277,3896,125,3896
full_record_modal_post_1999,all,density_far,binary,-0.07327196106297652,0.05489719000208865,0.1844160413177151,3896,125,3896
full_record_modal_post_1999,all,density_dupac,continuous,-0.040894054251757704,0.04715727309316853,0.3875159727368882,3896,125,3896
full_record_modal_post_1999,all,density_dupac,binary,-0.09567506731461212,0.07314390738086447,0.19327980936643285,3896,125,3896
full_record_modal_post_1999,multifamily,density_far,continuous,-0.20662718923146633,0.07010927898651839,0.004072852096518161,864,92,864
full_record_modal_post_1999,multifamily,density_far,binary,-0.20851469784092438,0.0971605799677135,0.03452740400668718,864,92,864
full_record_modal_post_1999,multifamily,density_dupac,continuous,-0.15569748887625567,0.05196136848093452,0.003520135689689071,864,92,864
full_record_modal_post_1999,multifamily,density_dupac,binary,-0.27319619152041297,0.11336177128079375,0.01796704578916142,864,92,864
production,all,density_far,continuous,-0.06486598022137967,0.033258139685435596,0.053387180134942515,4113,125,4113
production,all,density_far,binary,-0.06514846097358998,0.053183789347701745,0.222908986958163,4113,125,4113
production,all,density_dupac,continuous,-0.04011579618950888,0.04189019144953293,0.3401068504862236,4113,125,4113
production,all,density_dupac,binary,-0.06347177684805275,0.07108932507822395,0.3736694402889388,4113,125,4113
production,multifamily,density_far,continuous,-0.2353493994039009,0.06915913131892754,9.884752190800349e-4,881,93,881
production,multifamily,density_far,binary,-0.25909844819931177,0.09888412014275083,0.010279575244937344,881,93,881
production,multifamily,density_dupac,continuous,-0.17610386324588626,0.05734925696855627,0.0028074686328085157,881,93,881
production,multifamily,density_dupac,binary,-0.3187074855715149,0.12173194830336596,0.010338947012055951,881,93,881
production_common_sample_latest_report_through_2025,all,density_far,continuous,-0.06580015413003404,0.03345289954540411,0.051422200387988865,4110,125,4110
production_common_sample_latest_report_through_2025,all,density_far,binary,-0.06614869213476188,0.05325725663739183,0.21655855823115025,4110,125,4110
production_common_sample_latest_report_through_2025,all,density_dupac,continuous,-0.040768188075904634,0.042079941210895574,0.33451736035164936,4110,125,4110
production_common_sample_latest_report_through_2025,all,density_dupac,binary,-0.06423534181134337,0.07112803729633445,0.3682267444762166,4110,125,4110
production_common_sample_latest_report_through_2025,multifamily,density_far,continuous,-0.2353493994039009,0.06915913131892754,9.884752190800349e-4,881,93,881
production_common_sample_latest_report_through_2025,multifamily,density_far,binary,-0.25909844819931177,0.09888412014275083,0.010279575244937344,881,93,881
production_common_sample_latest_report_through_2025,multifamily,density_dupac,continuous,-0.17610386324588626,0.05734925696855627,0.0028074686328085157,881,93,881
production_common_sample_latest_report_through_2025,multifamily,density_dupac,binary,-0.3187074855715149,0.12173194830336596,0.010338947012055951,881,93,881
production_stable_reported_year_only,all,density_far,continuous,-0.06600162480363281,0.03378396761812544,0.052995846157381336,4099,125,4099
production_stable_reported_year_only,all,density_far,binary,-0.0674806762185603,0.053501357626308546,0.20957244564217986,4099,125,4099
production_stable_reported_year_only,all,density_dupac,continuous,-0.041006947606960886,0.042370523535953296,0.3350192479443649,4099,125,4099
production_stable_reported_year_only,all,density_dupac,binary,-0.06376781588612875,0.07104883059939074,0.3711803010574577,4099,125,4099
production_stable_reported_year_only,multifamily,density_far,continuous,-0.2364390425999945,0.0683330027634144,8.203908806563594e-4,880,93,880
production_stable_reported_year_only,multifamily,density_far,binary,-0.26249339540806843,0.0971376753582934,0.008200493813175369,880,93,880
production_stable_reported_year_only,multifamily,density_dupac,continuous,-0.1768218910772319,0.056902280730617344,0.0025102484586894697,880,93,880
production_stable_reported_year_only,multifamily,density_dupac,binary,-0.3210159147623759,0.12186457000853487,0.009894711390317891,880,93,880
year_only_2014_to_2015_2016_corrections,all,density_far,continuous,-0.06526471515637099,0.03326424443346262,0.052001637155178464,4113,125,4113
year_only_2014_to_2015_2016_corrections,all,density_far,binary,-0.06612957004297239,0.053293006224296974,0.21699713594181416,4113,125,4113
year_only_2014_to_2015_2016_corrections,all,density_dupac,continuous,-0.03986071784431228,0.041858549686152,0.3428116780404302,4113,125,4113
year_only_2014_to_2015_2016_corrections,all,density_dupac,binary,-0.06253305638610997,0.0710396926481484,0.3804239336254366,4113,125,4113
year_only_2014_to_2015_2016_corrections,multifamily,density_far,continuous,-0.23534939940390054,0.06915913131892747,9.884752190800399e-4,881,93,881
year_only_2014_to_2015_2016_corrections,multifamily,density_far,binary,-0.25909844819931144,0.09888412014275064,0.010279575244937307,881,93,881
year_only_2014_to_2015_2016_corrections,multifamily,density_dupac,continuous,-0.17610386324588603,0.05734925696855684,0.0028074686328088032,881,93,881
year_only_2014_to_2015_2016_corrections,multifamily,density_dupac,binary,-0.3187074855715147,0.12173194830337337,0.010338947012060487,881,93,881
year_only_endpoint_minus_one_to_permit_year,all,density_far,continuous,-0.06694048791533004,0.03305416446967581,0.04499635062539894,4109,125,4109
year_only_endpoint_minus_one_to_permit_year,all,density_far,binary,-0.06805695523932073,0.05275013558116154,0.19939035829436638,4109,125,4109
year_only_endpoint_minus_one_to_permit_year,all,density_dupac,continuous,-0.042363715733589165,0.04177244570044046,0.31248378064347015,4109,125,4109
year_only_endpoint_minus_one_to_permit_year,all,density_dupac,binary,-0.06411939593788103,0.07004294185779847,0.36174283362972914,4109,125,4109
year_only_endpoint_minus_one_to_permit_year,multifamily,density_far,continuous,-0.23503805981300865,0.06867058901386554,9.271836919498905e-4,881,93,881
year_only_endpoint_minus_one_to_permit_year,multifamily,density_far,binary,-0.2684795349075736,0.09968818874327118,0.008410289536208341,881,93,881
year_only_endpoint_minus_one_to_permit_year,multifamily,density_dupac,continuous,-0.17284660370481758,0.05634448889094619,0.0028335633601999596,881,93,881
year_only_endpoint_minus_one_to_permit_year,multifamily,density_dupac,binary,-0.3162881169415693,0.1177311729841092,0.008567217030660388,881,93,881
year_only_latest_repeated_post_1999,all,density_far,continuous,-0.06598445523383788,0.033411804087912195,0.05050309368572442,4109,125,4109
year_only_latest_repeated_post_1999,all,density_far,binary,-0.06760870238279716,0.053380570492749004,0.20769327651215871,4109,125,4109
year_only_latest_repeated_post_1999,all,density_dupac,continuous,-0.040737974467914724,0.042016496815256106,0.33414779577691356,4109,125,4109
year_only_latest_repeated_post_1999,all,density_dupac,binary,-0.06369238828227643,0.07100494264877551,0.37144999087889385,4109,125,4109
year_only_latest_repeated_post_1999,multifamily,density_far,continuous,-0.23486293281281959,0.06858284050588341,9.2168191238597e-4,881,93,881
year_only_latest_repeated_post_1999,multifamily,density_far,binary,-0.26082950242649877,0.09773729632539314,0.00900066917498296,881,93,881
year_only_latest_repeated_post_1999,multifamily,density_dupac,continuous,-0.1758690572831564,0.056995230309045006,0.002682753050261895,881,93,881
year_only_latest_repeated_post_1999,multifamily,density_dupac,binary,-0.31999191045117636,0.12199565768017236,0.010202676047788455,881,93,881
year_only_latest_report_all,all,density_far,continuous,-0.06600824434406674,0.03340339283923637,0.05036423833697407,4110,125,4110
year_only_latest_report_all,all,density_far,binary,-0.06765196439520552,0.0533647519499667,0.20727062896403037,4110,125,4110
year_only_latest_report_all,all,density_dupac,continuous,-0.04081437156641583,0.04199163820355634,0.3329605054359128,4110,125,4110
year_only_latest_report_all,all,density_dupac,binary,-0.06382825788388052,0.07095173330417039,0.3700762561305022,4110,125,4110
year_only_latest_report_all,multifamily,density_far,continuous,-0.23486293281281959,0.06858284050588341,9.2168191238597e-4,881,93,881
year_only_latest_report_all,multifamily,density_far,binary,-0.26082950242649877,0.09773729632539314,0.00900066917498296,881,93,881
year_only_latest_report_all,multifamily,density_dupac,continuous,-0.1758690572831564,0.056995230309045006,0.002682753050261895,881,93,881
year_only_latest_report_all,multifamily,density_dupac,binary,-0.31999191045117636,0.12199565768017236,0.010202676047788455,881,93,881
year_only_latest_report_at_sample_end,all,density_far,continuous,-0.0648659802213795,0.03325813968543591,0.053387180134945304,4113,125,4113
year_only_latest_report_at_sample_end,all,density_far,binary,-0.06514846097358946,0.053183789347701745,0.22290898695816655,4113,125,4113
year_only_latest_report_at_sample_end,all,density_dupac,continuous,-0.04011579618950844,0.041890191449532974,0.3401068504862289,4113,125,4113
year_only_latest_report_at_sample_end,all,density_dupac,binary,-0.06347177684805244,0.07108932507822334,0.3736694402889368,4113,125,4113
year_only_latest_report_at_sample_end,multifamily,density_far,continuous,-0.23534939940390054,0.06915913131892747,9.884752190800399e-4,881,93,881
year_only_latest_report_at_sample_end,multifamily,density_far,binary,-0.25909844819931144,0.09888412014275064,0.010279575244937307,881,93,881
year_only_latest_report_at_sample_end,multifamily,density_dupac,continuous,-0.17610386324588603,0.05734925696855684,0.0028074686328088032,881,93,881
year_only_latest_report_at_sample_end,multifamily,density_dupac,binary,-0.3187074855715147,0.12173194830337337,0.010338947012060487,881,93,881
year_only_latest_report_through_2022,all,density_far,continuous,-0.0648659802213795,0.03325813968543591,0.053387180134945304,4113,125,4113
year_only_latest_report_through_2022,all,density_far,binary,-0.06514846097358946,0.053183789347701745,0.22290898695816655,4113,125,4113
year_only_latest_report_through_2022,all,density_dupac,continuous,-0.04011579618950844,0.041890191449532974,0.3401068504862289,4113,125,4113
year_only_latest_report_through_2022,all,density_dupac,binary,-0.06347177684805244,0.07108932507822334,0.3736694402889368,4113,125,4113
year_only_latest_report_through_2022,multifamily,density_far,continuous,-0.23534939940390054,0.06915913131892747,9.884752190800399e-4,881,93,881
year_only_latest_report_through_2022,multifamily,density_far,binary,-0.25909844819931144,0.09888412014275064,0.010279575244937307,881,93,881
year_only_latest_report_through_2022,multifamily,density_dupac,continuous,-0.17610386324588603,0.05734925696855684,0.0028074686328088032,881,93,881
year_only_latest_report_through_2022,multifamily,density_dupac,binary,-0.3187074855715147,0.12173194830337337,0.010338947012060487,881,93,881
year_only_latest_report_through_2025,all,density_far,continuous,-0.06598445523383788,0.033411804087912195,0.05050309368572442,4109,125,4109
year_only_latest_report_through_2025,all,density_far,binary,-0.06760870238279716,0.053380570492749004,0.20769327651215871,4109,125,4109
year_only_latest_report_through_2025,all,density_dupac,continuous,-0.040737974467914724,0.042016496815256106,0.33414779577691356,4109,125,4109
year_only_latest_report_through_2025,all,density_dupac,binary,-0.06369238828227643,0.07100494264877551,0.37144999087889385,4109,125,4109
year_only_latest_report_through_2025,multifamily,density_far,continuous,-0.23486293281281959,0.06858284050588341,9.2168191238597e-4,881,93,881
year_only_latest_report_through_2025,multifamily,density_far,binary,-0.26082950242649877,0.09773729632539314,0.00900066917498296,881,93,881
year_only_latest_report_through_2025,multifamily,density_dupac,continuous,-0.1758690572831564,0.056995230309045006,0.002682753050261895,881,93,881
year_only_latest_report_through_2025,multifamily,density_dupac,binary,-0.31999191045117636,0.12199565768017236,0.010202676047788455,881,93,881
year_only_latest_report_through_2025_common_sample,all,density_far,continuous,-0.06598445523383788,0.033411804087912195,0.05050309368572442,4109,125,4109
year_only_latest_report_through_2025_common_sample,all,density_far,binary,-0.06760870238279716,0.053380570492749004,0.20769327651215871,4109,125,4109
year_only_latest_report_through_2025_common_sample,all,density_dupac,continuous,-0.040737974467914724,0.042016496815256106,0.33414779577691356,4109,125,4109
year_only_latest_report_through_2025_common_sample,all,density_dupac,binary,-0.06369238828227643,0.07100494264877551,0.37144999087889385,4109,125,4109
year_only_latest_report_through_2025_common_sample,multifamily,density_far,continuous,-0.23486293281281959,0.06858284050588341,9.2168191238597e-4,881,93,881
year_only_latest_report_through_2025_common_sample,multifamily,density_far,binary,-0.26082950242649877,0.09773729632539314,0.00900066917498296,881,93,881
year_only_latest_report_through_2025_common_sample,multifamily,density_dupac,continuous,-0.1758690572831564,0.056995230309045006,0.002682753050261895,881,93,881
year_only_latest_report_through_2025_common_sample,multifamily,density_dupac,binary,-0.31999191045117636,0.12199565768017236,0.010202676047788455,881,93,881
year_only_minimum_post_1999,all,density_far,continuous,-0.048708529140073745,0.036299778119311454,0.1821396833059706,3858,123,3858
year_only_minimum_post_1999,all,density_far,binary,-0.059818126761004,0.057287659625194234,0.2984707351234685,3858,123,3858
year_only_minimum_post_1999,all,density_dupac,continuous,-0.03854202888949929,0.04955852001016321,0.4382470579560843,3858,123,3858
year_only_minimum_post_1999,all,density_dupac,binary,-0.07745104416594678,0.07853426244979772,0.325983363937989,3858,123,3858
year_only_minimum_post_1999,multifamily,density_far,continuous,-0.19544903302594238,0.06515754861591357,0.0034863994702397003,859,92,859
year_only_minimum_post_1999,multifamily,density_far,binary,-0.2304424571702974,0.10921934693313165,0.037611231581764375,859,92,859
year_only_minimum_post_1999,multifamily,density_dupac,continuous,-0.15137367900325246,0.047903424770546384,0.002142599034840785,859,92,859
year_only_minimum_post_1999,multifamily,density_dupac,binary,-0.24022673581544773,0.1002011174513855,0.01855324353172982,859,92,859
year_only_modal_post_1999,all,density_far,continuous,-0.049675145789138585,0.03434511717670145,0.15060135178808898,3896,125,3896
year_only_modal_post_1999,all,density_far,binary,-0.07425624595810863,0.05484654279424573,0.17823357391613603,3896,125,3896
year_only_modal_post_1999,all,density_dupac,continuous,-0.03870862552329111,0.04758926230715261,0.4175536297502085,3896,125,3896
year_only_modal_post_1999,all,density_dupac,binary,-0.08898408143125269,0.07553449228115758,0.2410290367607329,3896,125,3896
year_only_modal_post_1999,multifamily,density_far,continuous,-0.20726768718945265,0.07108182569074212,0.004465282282521264,862,92,862
year_only_modal_post_1999,multifamily,density_far,binary,-0.226125007055269,0.09926133199703494,0.02506301631464991,862,92,862
year_only_modal_post_1999,multifamily,density_dupac,continuous,-0.1546180715331089,0.05218277604722793,0.0038872264931055977,862,92,862
year_only_modal_post_1999,multifamily,density_dupac,binary,-0.2819720285979067,0.11602784234538856,0.017052209016416308,862,92,862
year_only_pre_2006_moved_into_sample,all,density_far,continuous,-0.0648659802213795,0.03325813968543591,0.053387180134945304,4113,125,4113
year_only_pre_2006_moved_into_sample,all,density_far,binary,-0.06514846097358946,0.053183789347701745,0.22290898695816655,4113,125,4113
year_only_pre_2006_moved_into_sample,all,density_dupac,continuous,-0.04011579618950844,0.041890191449532974,0.3401068504862289,4113,125,4113
year_only_pre_2006_moved_into_sample,all,density_dupac,binary,-0.06347177684805244,0.07108932507822334,0.3736694402889368,4113,125,4113
year_only_pre_2006_moved_into_sample,multifamily,density_far,continuous,-0.23534939940390054,0.06915913131892747,9.884752190800399e-4,881,93,881
year_only_pre_2006_moved_into_sample,multifamily,density_far,binary,-0.25909844819931144,0.09888412014275064,0.010279575244937307,881,93,881
year_only_pre_2006_moved_into_sample,multifamily,density_dupac,continuous,-0.17610386324588603,0.05734925696855684,0.0028074686328088032,881,93,881
year_only_pre_2006_moved_into_sample,multifamily,density_dupac,binary,-0.3187074855715147,0.12173194830337337,0.010338947012060487,881,93,881
