alderman,sample_scope,n_rezonings,downzone_share,mean_far_change_raw,alderman_fe_raw,alderman_se,shrinkage_B,alderman_fe_shrunk,strictness_index,n_rezonings_all_approved,downzone_share_all_approved,mean_far_change_raw_all_approved
Eugene Schulter,all_rezonings,2,0.5,-1.05,-1.2135974984494573,0.33630905390644794,0.7208818508725545,-0.8410181508316382,0.8410181508316382,2,0.5,-1.05
Patrick Levar,all_rezonings,2,0,0,-2.41714109678216,0.7924744696137944,0.3174708118388288,-0.7524678757882758,0.7524678757882758,5,0.2,0.21000000000000002
Angela Clay,all_rezonings,3,0,0.36666666666666664,-1.1006061050265845,0.3629918451715741,0.6891482775242461,-0.726128294366457,0.726128294366457,12,0,1.675
Ray Suarez,all_rezonings,3,0.3333333333333333,-0.33333333333333337,-0.966630936474518,0.2988032225899905,0.7659049226838542,-0.7043914956652836,0.7043914956652836,13,0.23076923076923078,0.2076923076923076
Lamont Robinson,all_rezonings,1,1,-1,-1.2409430513706403,0.521935197126755,0.5174464886399478,-0.6178297678072461,0.6178297678072461,9,0.1111111111111111,0.8555555555555556
Harry Osterman,all_rezonings,6,0,0.35,-1.0312699791522721,0.4925901282035064,0.5462539457576217,-0.5376910540070686,0.5376910540070686,23,0.21739130434782608,0.26086956521739124
Bill Conway,all_rezonings,3,0.3333333333333333,-0.33333333333333337,-0.6739845337443269,0.22720446597831304,0.8498213396209539,-0.5328710324271367,0.5328710324271367,7,0.14285714285714285,0.4285714285714287
Marty Quinn,all_rezonings,21,0.7142857142857143,-0.21428571428571422,-0.7159589268258895,0.32748783677612797,0.7314514913132397,-0.4893507661427587,0.4893507661427587,39,0.5897435897435898,-0.1384615384615384
Patrick Daley Thompson,all_rezonings,40,0.375,0.1374999999999999,-0.5578244441811677,0.14978001775923838,0.9286785694647592,-0.4744421967646102,0.4744421967646102,105,0.3523809523809524,0.06809523809523801
Michele Smith,all_rezonings,38,0.3157894736842105,0.16315789473684209,-0.5433221372856588,0.14542072509992882,0.9324935435811291,-0.4628678786309509,0.4628678786309509,63,0.2857142857142857,0.0888888888888889
Joe Moore,all_rezonings,8,0.25,-0.35625,-0.8903706052128175,0.5269282740374389,0.5126903482191745,-0.4324158389614196,0.4324158389614196,35,0.14285714285714285,0.4742857142857143
Carlos Ramirez-Rosa,all_rezonings,16,0.375,-0.14375000000000007,-0.4542900819967197,0.19287995146728057,0.8870308717350246,-0.3613270952207521,0.3613270952207521,66,0.22727272727272727,0.3340909090909091
Michelle A. Harris,all_rezonings,16,0.3125,-0.15937500000000013,-0.6672524318121775,0.45983294524316287,0.5800977429194036,-0.35983856967777655,0.35983856967777655,40,0.375,-0.20750000000000013
Monique Scott,all_rezonings,1,1,-1.0000000000000002,-0.8910473147564375,0.6391940551895767,0.41689934266925793,-0.35190543322977286,0.35190543322977286,33,0.6363636363636364,-0.1454545454545453
Patrick O'Connor,all_rezonings,23,0.30434782608695654,0.38260869565217387,-0.5376587030824682,0.34705677251207284,0.7080484001292531,-0.34744859903051667,0.34744859903051667,54,0.16666666666666666,0.4074074074074074
Anthony Beale,all_rezonings,27,0.6296296296296297,-0.3462962962962963,-0.6942328644081508,0.5193266718136464,0.5199481433287485,-0.3365557903790246,0.3365557903790246,65,0.5384615384615384,-0.37692307692307697
Timothy Cullerton,all_rezonings,13,0.3076923076923077,0.18846153846153849,-0.4100285028784634,0.19184422020131456,0.8881054714149557,-0.3224558768390391,0.3224558768390391,22,0.22727272727272727,0.16818181818181818
Pat Dowell,all_rezonings,14,0.5,-0.3928571428571429,-0.41540003783089685,0.21740135023252322,0.8607353257147333,-0.3171417158756956,0.3171417158756956,74,0.33783783783783783,-0.01486486486486491
Sophia King,all_rezonings,5,0.6,-2.92,-0.42294778391451526,0.2558138440324917,0.8169773049669548,-0.30718521795759723,0.30718521795759723,17,0.4117647058823529,-0.47058823529411764
Brendan Reilly,all_rezonings,8,0.5,-1.125,-2.0254972444921586,1.275457392216454,0.15222970880931108,-0.3011943345714135,0.3011943345714135,29,0.4827586206896552,-1
Raymond Lopez,all_rezonings,15,0.3333333333333333,0.18000000000000002,-0.4353932352579204,0.29565566060960374,0.7696808927655127,-0.29898069168511615,0.29898069168511615,45,0.2,0.29666666666666663
Jeanette Taylor,all_rezonings,1,0,0.25,-0.5342309816610142,0.4598480957386386,0.5800816919498639,-0.28266530528304934,0.28266530528304934,10,0,0.705
Dick Mell,all_rezonings,3,0.3333333333333333,0.43333333333333324,-0.4202095916223718,0.30956017761012533,0.7529849833753041,-0.28106215018624947,0.28106215018624947,6,0.16666666666666666,0.5666666666666667
Debra Silverstein,all_rezonings,10,0.1,0.20000000000000004,-0.4803713451827649,0.40983251755271255,0.6349249851620797,-0.27519280924591544,0.27519280924591544,34,0.23529411764705882,0.08088235294117636
Samantha Nugent,all_rezonings,3,0,0.6,-0.43428141898136996,0.3569010900601485,0.6963515046627408,-0.26972185229927026,0.26972185229927026,21,0,0.5785714285714286
Rossana Rodriguez-Sanchez,all_rezonings,10,0.2,0.13,-0.31417049821431087,0.2041250288239771,0.8751667710616231,-0.23386631605428088,0.23386631605428088,42,0.047619047619047616,0.7452380952380953
Margaret Laurino,all_rezonings,13,0,0.7346153846153847,-0.32363101673833494,0.2487585268797727,0.8251931546015412,-0.22831887862093364,0.22831887862093364,38,0.13157894736842105,0.438157894736842
William D. Burns,all_rezonings,4,0,0.55,-0.3488087159298592,0.34224022990536457,0.7137925214202328,-0.21546760588240738,0.21546760588240738,13,0.15384615384615385,0.22307692307692306
Billy Ocasio,all_rezonings,5,0,0.7600000000000001,-0.40603686925784543,0.46203586485941056,0.5777676724698876,-0.20747130356329513,0.20747130356329513,7,0,1.342857142857143
Matthew O'Shea,all_rezonings,35,0.17142857142857143,0.07571428571428576,-0.31138193642457823,0.33910304356353815,0.7175402784965443,-0.18974369357075405,0.18974369357075405,60,0.23333333333333334,0.03333333333333335
Julia Ramirez,all_rezonings,1,0,0,-0.3819333194257032,0.49544282219742175,0.5433899021052795,-0.18202892217032374,0.18202892217032374,7,0,0.3714285714285714
Maria Hadden,all_rezonings,4,0,0.4624999999999999,-0.46464315095166775,0.6240319627888807,0.4286155264882197,-0.17903163844372794,0.17903163844372794,21,0,0.9357142857142856
John Pope,all_rezonings,3,0,0.43333333333333335,-0.5774700153759431,0.7903494072202663,0.31863560618076753,-0.16904395584818505,0.16904395584818505,10,0.1,0.295
Leslie Hairston,all_rezonings,6,0,0.2583333333333333,-0.27602051846764875,0.4040995567965107,0.6414305658380809,-0.14693562872677104,0.14693562872677104,31,0.41935483870967744,-0.15645161290322587
James Balcer,all_rezonings,22,0.22727272727272727,0.3477272727272728,-0.2036311129816708,0.14014693717052562,0.9369982153490872,-0.14681400828029093,0.14681400828029093,60,0.43333333333333335,-0.15250000000000016
George Cardenas,all_rezonings,22,0.09090909090909091,0.4704545454545454,-0.2238227396346129,0.24492049137299443,0.8296337638510972,-0.14674321366573895,0.14674321366573895,85,0.12941176470588237,0.5252941176470588
Ameya Pawar,all_rezonings,47,0.10638297872340426,0.5095744680851063,-0.18779585308436486,0.21791824280375321,0.8601650212433961,-0.12115442627770945,0.12115442627770945,109,0.11926605504587157,0.681651376146789
Andre Vasquez,all_rezonings,15,0.06666666666666667,0.8333333333333334,-0.21147736723448363,0.3337450891972666,0.7239511708983544,-0.11911293636912132,0.11911293636912132,46,0.043478260869565216,0.8608695652173913
Scott Waguespack,all_rezonings,101,0.26732673267326734,0.12970297029702965,-0.16629133469292767,0.10326548441273968,0.9647802988924529,-0.11514237471456419,0.11514237471456419,219,0.2374429223744292,0.1689497716894977
Mary O'Connor,all_rezonings,3,0,0.1833333333333333,-0.21948626826645956,0.3873924223345439,0.6606124724665237,-0.11398249084638791,0.11398249084638791,11,0.18181818181818182,0.19090909090909092
Susan Sadlowski Garza,all_rezonings,4,0.25,0.26249999999999996,-0.30771448873381946,0.6330848654205062,0.4215758296274951,-0.10993384362239021,0.10993384362239021,16,0.0625,0.18124999999999997
Silvana Tabares,all_rezonings,5,0.2,0.04999999999999999,-0.20596746160169221,0.3614651386147951,0.6909511918339435,-0.10987631696075549,0.10987631696075549,13,0.15384615384615385,0.13461538461538464
Roberto Maldonado,all_rezonings,94,0.2127659574468085,0.38510638297872335,-0.1397568315678892,0.11487592080570433,0.9567769336042659,-0.08879960699202316,0.08879960699202316,213,0.18309859154929578,0.44741784037558685
Mary Ann Smith,all_rezonings,2,0.5,1.3999999999999997,-0.23880454303608634,0.7549370577830544,0.3388624617958096,-0.065013780100921,0.065013780100921,3,0.6666666666666666,-0.4333333333333333
Brian Hopkins,all_rezonings,35,0.11428571428571428,0.31428571428571433,-0.10449577243009184,0.12699035515907758,0.9476820182438568,-0.05453922537375668,0.05453922537375668,92,0.05434782608695652,0.4945652173913043
Matt Martin,all_rezonings,39,0,0.6102564102564102,-0.10937460763173323,0.2870325028563654,0.7800075293569546,-0.04869506457408996,0.04869506457408996,85,0.03529411764705882,0.6535294117647058
Nicole Lee,all_rezonings,15,0.06666666666666667,0.7566666666666667,-0.09457513310624943,0.15464081165833754,0.9243302541399996,-0.04402538119651001,0.04402538119651001,51,0.13725490196078433,0.446078431372549
Robert Fioretti,all_rezonings,3,0.3333333333333333,0,-0.15411857022593956,0.6645195095471019,0.39813852718489,-0.04266967247753823,0.04266967247753823,38,0.2894736842105263,0.10657894736842108
Jim Gardiner,all_rezonings,13,0.07692307692307693,0.5653846153846154,-0.09914116985247468,0.3019712144236091,0.7621018882004487,-0.03977831163279894,0.03977831163279894,28,0.10714285714285714,0.5571428571428572
Michael Scott Jr.,all_rezonings,17,0.6470588235294118,-0.5588235294117648,-0.0961011771073681,0.33658964252769596,0.7205461190690802,-0.03541883128225659,0.03541883128225659,40,0.575,-0.47000000000000014
Gregory Mitchell,all_rezonings,1,0,0.25,-0.15183703453635378,0.8807085628906006,0.2735764048750108,-0.028695810539388578,0.028695810539388578,8,0,0.36874999999999997
Deb Mell,all_rezonings,25,0.2,0.626,-0.07217142540847798,0.12642128930790408,0.9481255905945319,-0.023917212410700103,0.023917212410700103,60,0.2,0.61
Michael Zalewski,all_rezonings,27,0.14814814814814814,0.10185185185185185,-0.07365283553702895,0.3231399245739668,0.7366696650956953,-0.01967438057596842,0.01967438057596842,37,0.21621621621621623,0.024324324324324353
Lona Lane,all_rezonings,4,0,0.725,-0.06551871859569403,0.45202888984915923,0.5884130777430207,-0.010928642167173843,0.010928642167173843,11,0,0.29090909090909095
John Arena,all_rezonings,13,0.15384615384615385,0.5730769230769232,-0.05432103990013193,0.2860166070310327,0.7812219275261363,-0.00576182389725759,0.00576182389725759,40,0.125,0.43
Peter Chico,all_rezonings,6,0,0.48333333333333334,-0.045659697124786014,0.7651837264225283,0.33284826799847694,4.2802395632775454e-4,-4.2802395632775454e-4,13,0.07692307692307693,0.2692307692307692
Ed Burke,all_rezonings,12,0,0.5708333333333333,-0.04444403001033281,0.2669724680068234,0.8038621540616041,0.0020109498305519685,-0.0020109498305519685,30,0.03333333333333333,0.425
Ariel Reboyras,all_rezonings,33,0.06060606060606061,0.4696969696969697,-0.039073619435795015,0.1791193390681576,0.9010366724388517,0.0070929794786623104,-0.0070929794786623104,92,0.05434782608695652,0.5467391304347825
Daniel Solis,all_rezonings,48,0.08333333333333333,0.6510416666666666,-0.027546137237222545,0.14730249078839475,0.930856733626364,0.01805815804859664,-0.01805815804859664,128,0.109375,0.742578125
Rey Colon,all_rezonings,10,0.1,0.4499999999999999,-0.018507215795846577,0.25821727022983504,0.8141641798521039,0.0231535465571167,-0.0231535465571167,37,0.10810810810810811,0.5405405405405405
Tom Tunney,all_rezonings,44,0.09090909090909091,0.6988636363636362,-8.056966353642281e-4,0.22815954072071026,0.8487474761876652,0.03916116073096973,-0.03916116073096973,116,0.14655172413793102,0.5241379310344828
Proco Joe Moreno,all_rezonings,164,0.0975609756097561,0.586280487804878,0,0,1,0.046945640293129955,-0.046945640293129955,322,0.11490683229813664,0.6083850931677018
Toni Foulkes,all_rezonings,2,0,0.14999999999999994,0.023485611151331742,0.26829788347731764,0.8022958062852211,0.05650669766531154,-0.05650669766531154,19,0.10526315789473684,0.4052631578947369
Anthony Napolitano,all_rezonings,7,0,0.8428571428571427,0.13025208430673718,0.4054710649986074,0.6398705041995473,0.1133835973827295,-0.1133835973827295,20,0,0.525
Roderick Sawyer,all_rezonings,8,0.25,0.23124999999999993,0.12766192630024165,0.366934166599628,0.6845013625160952,0.11951911723878268,-0.11951911723878268,32,0.21875,0.20937499999999998
Gilbert Villegas,all_rezonings,24,0.125,0.43125,0.1075167811747423,0.12156492159143684,0.9518462389785096,0.14702447493770762,-0.14702447493770762,70,0.07142857142857142,0.4785714285714286
Daniel La Spata,all_rezonings,38,0.18421052631578946,0.5342105263157895,0.11614982932435229,0.17121571975950298,0.9087985461263746,0.14822092566816616,-0.14822092566816616,78,0.14102564102564102,0.6205128205128205
Nicholas Sposato,all_rezonings,26,0.11538461538461539,0.6980769230769232,0.15317332128318117,0.29207894774043985,0.7739678170780347,0.15488563584714063,-0.15488563584714063,59,0.05084745762711865,0.7296610169491525
Derrick Curtis,all_rezonings,11,0,0,0.18796902467106547,0.31177414715905116,0.7503243855465763,0.17626220164513975,-0.17626220164513975,14,0,0
Milagros Santiago,all_rezonings,7,0,0.5571428571428572,0.1972183813613646,0.21739639671464317,0.860740788195201,0.21016193244779974,-0.21016193244779974,28,0.03571428571428571,0.48035714285714287
Bennett Lawson,all_rezonings,7,0,0.9357142857142857,0.2594482546880408,0.3429883542703007,0.7128995111637898,0.21842805795564618,-0.21842805795564618,19,0,0.95
Deborah Graham,all_rezonings,4,0.25,0.2250000000000001,0.2530013207522015,0.325214116806221,0.7341797571868104,0.22021498702918313,-0.22021498702918313,11,0.36363636363636365,-0.2045454545454546
John Rice,all_rezonings,1,0,0.2999999999999999,0.36150585701759397,0.46765678694911483,0.5718570321146076,0.2335758610148782,-0.2335758610148782,2,0,0.14999999999999994
Timmy Knudsen,all_rezonings,9,0,0.6888888888888889,0.2635546116395422,0.3077237805441711,0.7551916765776873,0.234487205834829,-0.234487205834829,22,0,0.9454545454545454
Ricardo Munoz,all_rezonings,10,0.1,0.19,0.23328635931969766,0.23359209760367816,0.8426061422886832,0.23612520413960847,-0.23612520413960847,34,0.08823529411764706,0.361764705882353
Ronnie Mosley,all_rezonings,17,0.17647058823529413,0.438235294117647,0.3593711033528537,0.41735007462166884,0.6264577967763332,0.2545402920177971,-0.2545402920177971,36,0.1388888888888889,0.38888888888888895
Jessie Fuentes,all_rezonings,12,0,0.8833333333333334,0.2539888502231732,0.16849972945531372,0.9114147649295037,0.2742761379330964,-0.2742761379330964,27,0,0.7925925925925926
David Moore,all_rezonings,8,0,0.6125,0.36012126052829574,0.3730305282553851,0.6773414036276473,0.27572326597274077,-0.27572326597274077,33,0.15151515151515152,0.6621212121212121
Leni Manaa-Hoppenworth,all_rezonings,2,0,1.5499999999999998,0.5485916565325919,0.5758887806155012,0.4683105497659996,0.2788963988826111,-0.2788963988826111,10,0,1.5
Michael Rodriguez,all_rezonings,7,0.14285714285714285,0.3642857142857143,0.3588592188472348,0.33106029911279905,0.7271677602720885,0.29508821052862944,-0.29508821052862944,24,0.20833333333333334,0.05208333333333333
Jason Ervin,all_rezonings,27,0.3333333333333333,0.0925925925925925,0.3067519776133667,0.21789861468073943,0.8601866885115248,0.30424598268140396,-0.30424598268140396,88,0.3522727272727273,0.11420454545454534
Ed Smith,all_rezonings,1,0,0,0.6012183130800972,0.5686024400447314,0.47465628541295546,0.3076550944467121,-0.3076550944467121,9,0.2222222222222222,1.2
Felix Cardona Jr.,all_rezonings,8,0,0.8750000000000001,0.3925382547581414,0.29682853696708605,0.7682741884566396,0.3376441328102785,-0.3376441328102785,33,0,0.3303030303030303
Carrie Austin,all_rezonings,10,0,0.435,0.5760566945326202,0.48904625487179443,0.5498307843460438,0.34254586240665885,-0.34254586240665885,28,0.07142857142857142,0.2375
Vi Daley,all_rezonings,10,0.2,0.6900000000000001,0.4052605916206087,0.27628477983540667,0.7928247062426278,0.35852027297809547,-0.35852027297809547,14,0.21428571428571427,0.75
Ruth Cruz,all_rezonings,1,0,0,0.5746571720295558,0.4479855002504917,0.592758197941347,0.36846016286766853,-0.36846016286766853,14,0.14285714285714285,0.7607142857142857
Stephanie Coleman,all_rezonings,6,0,0.45833333333333326,0.41067588415872347,0.25626002525831376,0.8164555899561378,0.37362765172296514,-0.37362765172296514,31,0.0967741935483871,0.27903225806451604
Sharon Denise Dixon,all_rezonings,2,0,0.2999999999999999,0.4988185206433695,0.36673962055419973,0.6847303787082751,0.3737013006034533,-0.3737013006034533,4,0,0.34999999999999987
Latasha Thomas,all_rezonings,15,0.06666666666666667,0.4733333333333333,0.5505541755623828,0.39814623179045106,0.6482287329044352,0.3873165485426524,-0.3873165485426524,21,0.19047619047619047,0.2571428571428571
Willie Cochran,all_rezonings,5,0,0.6,0.6216604724969477,0.42665593332595186,0.616080643271634,0.4119152840630577,-0.4119152840630577,27,0.1111111111111111,0.3962962962962963
Howard Brookins,all_rezonings,18,0.05555555555555555,0.5833333333333334,0.5852452786915734,0.37193058398727485,0.6786308175374943,0.4290242401903691,-0.4290242401903691,35,0.08571428571428572,0.3571428571428571
Manuel Flores,all_rezonings,9,0.2222222222222222,0.9333333333333331,0.910773676500268,0.5960321510384766,0.4512335095232588,0.43215504845490266,-0.43215504845490266,10,0.2,1.02
James Cappleman,all_rezonings,8,0,1.1375,0.6329424221023423,0.3592281518892512,0.693596125477504,0.4715677258359071,-0.4715677258359071,41,0.024390243902439025,1.4585365853658536
Helen Shiller,all_rezonings,1,0,1.8,0.8943361742849021,0.49527712427691056,0.5435558877765785,0.511639272370911,-0.511639272370911,4,0.25,0.2500000000000001
Emma Mitts,all_rezonings,9,0.2222222222222222,0.4833333333333333,0.6165126790406741,0.2817760845159673,0.7862849566931798,0.52166729588511,-0.52166729588511,43,0.046511627906976744,0.5802325581395349
Michael Chandler,all_rezonings,6,0.16666666666666666,0.5666666666666667,0.5885506505111779,0.24693619287146848,0.8273042604871957,0.5257487889062139,-0.5257487889062139,15,0.2,0.3133333333333333
William Hall,all_rezonings,2,0,1.4,0.8028841757644178,0.42174086710235015,0.6215468581675874,0.5282090521477075,-0.5282090521477075,7,0.14285714285714285,0.49999999999999994
Jeylu Gutierrez,all_rezonings,2,0,0.9,0.9159002849317477,0.4633416870976008,0.5763900835992218,0.5549748433335373,-0.5549748433335373,7,0,0.5785714285714286
"Walter Burnett, Jr.",all_rezonings,87,0.08045977011494253,0.8408045977011495,0.5751531453110492,0.06879095623468526,0.9840584533072659,0.612181568765977,-0.612181568765977,298,0.1174496644295302,0.8585570469798657
JoAnn Thompson,all_rezonings,5,0,0.58,1.0046995825430725,0.42412147796219063,0.6188951488004489,0.6508581266724928,-0.6508581266724928,19,0.2631578947368421,0.19999999999999996
Chris Taliaferro,all_rezonings,13,0,0.7000000000000001,0.7688536411535971,0.24613210164381158,0.8282342492781868,0.6756729054307142,-0.6756729054307142,51,0.0392156862745098,0.45882352941176463
Sandi Jackson,all_rezonings,2,0,1.6,1.803415509238795,0.6958721319680335,0.3762652902973467,0.6962266750835617,-0.6962266750835617,3,0,1.0666666666666669
William Banks,all_rezonings,1,0,2.8,2.8496396611270565,0.9491902070519163,0.24484138062249183,0.7092039442905351,-0.7092039442905351,2,0,1.4
Byron Sigcho-Lopez,all_rezonings,25,0.04,1.348,0.7930956716972988,0.1406582178149928,0.9365669060060551,0.7867548924881431,-0.7867548924881431,92,0.05434782608695652,1.2141304347826087
Fredrenna Lyle,all_rezonings,1,0,0.7999999999999998,1.4758962353896852,0.4789950953185497,0.5600883073625604,0.8529259285320145,-0.8529259285320145,1,0,0.7999999999999998
Anabel Abarca,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,4,0,0.9
Arenda Troutman,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Barbara Holt,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Bernard Stone,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,2,0.5,0.3750000000000001
Bernie Hansen,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,3,0,0.5
Brian Doherty,all_rezonings,2,0.5,-0.1000000000000002,NA,NA,NA,NA,NA,2,0.5,-0.1000000000000002
Burton Natarus,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,2,0,0
Charles Bernardini,all_rezonings,1,0,0.1999999999999999,NA,NA,NA,NA,NA,1,0,0.1999999999999999
Darcel Beavers,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Desmon Yancy,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,3,0.6666666666666666,-0.7000000000000001
Dorothy Tillman,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Frank Olivo,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Isaac Carothers,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Jesse Granato,all_rezonings,1,1,-1.8,NA,NA,NA,NA,NA,1,1,-1.8
John J. Buchanan,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
John O. Steele,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Leonard DeVille,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Lorraine Dixon,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Madeline Haithcock,all_rezonings,2,0.5,0.25,NA,NA,NA,NA,NA,2,0.5,0.25
Melvin Powell Sr.,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Michael Wojcik,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Natashia Holmes,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,1,1,-0.2999999999999999
Percy Z. Giles,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Ray Frias,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Robert Shaw,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Sam Burrell,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Shirley Coleman,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Shirley Newsome,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Ted Thomas,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Terry Gabinski,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Terry Peterson,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Theodore Matlak,all_rezonings,3,0,1.4333333333333333,NA,NA,NA,NA,NA,3,0,1.4333333333333333
Thomas Allen,all_rezonings,2,0,0.3999999999999999,NA,NA,NA,NA,NA,6,0.16666666666666666,0.04166666666666667
Thomas Murphy,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Todd Stroger,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Toni Preckwinkle,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Vilma Colom,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Virgil E. Jones,all_rezonings,2,0,0.5000000000000001,NA,NA,NA,NA,NA,2,0,0.5000000000000001
Virginia Rugai,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
William Beavers,all_rezonings,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
