section,check,value_numeric,value_text,alderman,candidate,score,rank
scalar,rezoning_rows_raw,4530,raw input rows,NA,NA,NA,NA
scalar,rezoning_rows_base,4528,rows passing base filters,NA,NA,NA,NA
scalar,rezoning_rows_scoring,4528,rows mapped to canonical alderman,NA,NA,NA,NA
scalar,rezoning_rows_unmapped,0,rows with missing canonical alderman after mapping,NA,NA,NA,NA
scalar,canonical_aldermen_in_panel,145,unique aldermen in panel,NA,NA,NA,NA
scalar,candidate_rows,145,rows in candidate output,NA,NA,NA,NA
scalar,candidate_cols_count,12,number of candidate score columns,NA,NA,NA,NA
scalar,zero_rezoning_imputed,27,aldermen with n_rezonings == 0,NA,NA,NA,NA
scalar,trusted_mismatch_rows,0,trusted summary mismatch rows,NA,NA,NA,NA
integrity_by_name,ameya pawar,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,anabel abarca,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,andre vasquez,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,angela clay,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,anthony beale,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,anthony napolitano,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,ariel reboyras,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,bennett lawson,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,bernard stone,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,bernie hansen,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,bill conway,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,billy ocasio,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,brendan reilly,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,brian doherty,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,brian hopkins,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,burton natarus,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,byron sigcholopez,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,carlos ramirezrosa,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,carrie austin,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,charles bernardini,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,chris taliaferro,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,daniel la spata,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,daniel solis,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,david moore,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,deb mell,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,deborah graham,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,debra silverstein,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,derrick curtis,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,desmon yancy,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,dick mell,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,ed burke,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,ed smith,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,emma mitts,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,eugene schulter,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,felix cardona,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,fredrenna lyle,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,george cardenas,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,gilbert villegas,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,gregory mitchell,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,harry osterman,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,helen shiller,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,howard brookins,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,james balcer,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,james cappleman,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,jason ervin,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,jeanette taylor,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,jesse granato,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,jessie fuentes,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,jeylu gutierrez,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,jim gardiner,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,joann thompson,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,joe moore,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,john arena,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,john pope,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,john rice,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,julia ramirez,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,lamont robinson,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,latasha thomas,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,leni manaahoppenworth,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,leslie hairston,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,lona lane,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,madeline haithcock,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,manuel flores,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,margaret laurino,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,maria hadden,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,marty quinn,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,mary ann smith,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,mary oconnor,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,matt martin,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,matthew oshea,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,michael chandler,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,michael rodriguez,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,michael scott,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,michael zalewski,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,michele smith,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,michelle a harris,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,milagros santiago,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,monique scott,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,natashia holmes,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,nicholas sposato,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,nicole lee,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,pat dowell,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,patrick daley thompson,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,patrick levar,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,patrick oconnor,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,peter chico,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,proco joe moreno,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,ray suarez,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,raymond lopez,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,rey colon,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,ricardo munoz,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,robert fioretti,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,roberto maldonado,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,roderick sawyer,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,ronnie mosley,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,rossana rodriguezsanchez,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,ruth cruz,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,samantha nugent,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,sandi jackson,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,scott waguespack,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,sharon denise dixon,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,silvana tabares,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,sophia king,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,stephanie coleman,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,susan sadlowski garza,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,theodore matlak,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,thomas allen,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,timmy knudsen,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,timothy cullerton,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,tom tunney,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,toni foulkes,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,vi daley,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,virgil e jones,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,walter burnett,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,william banks,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,william d burns,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,william hall,0,down_diff=0,NA,NA,NA,NA
integrity_by_name,willie cochran,0,down_diff=0,NA,NA,NA,NA
candidate_rank_snapshot,comp_adj_down_t0,33,rank=1,Monique Scott,comp_adj_down_t0,1,1
candidate_rank_snapshot,comp_adj_down_t0,40,rank=2,Michael Scott Jr.,comp_adj_down_t0,0.8927970362079238,2
candidate_rank_snapshot,comp_adj_down_t0,65,rank=3,Anthony Beale,comp_adj_down_t0,0.8276008781984859,3
candidate_rank_snapshot,comp_adj_down_t0,19,rank=143,Bennett Lawson,comp_adj_down_t0,0.07586106764141158,143
candidate_rank_snapshot,comp_adj_down_t0,21,rank=144,Maria Hadden,comp_adj_down_t0,0.07532667439723162,144
candidate_rank_snapshot,comp_adj_down_t0,22,rank=145,Timmy Knudsen,comp_adj_down_t0,0,145
candidate_rank_snapshot,comp_adj_down_t01,33,rank=1,Monique Scott,comp_adj_down_t01,1,1
candidate_rank_snapshot,comp_adj_down_t01,40,rank=2,Michael Scott Jr.,comp_adj_down_t01,0.8927970362079238,2
candidate_rank_snapshot,comp_adj_down_t01,65,rank=3,Anthony Beale,comp_adj_down_t01,0.8276008781984859,3
candidate_rank_snapshot,comp_adj_down_t01,19,rank=143,Bennett Lawson,comp_adj_down_t01,0.07586106764141158,143
candidate_rank_snapshot,comp_adj_down_t01,21,rank=144,Maria Hadden,comp_adj_down_t01,0.07532667439723162,144
candidate_rank_snapshot,comp_adj_down_t01,22,rank=145,Timmy Knudsen,comp_adj_down_t01,0,145
candidate_rank_snapshot,eb_down_share_t0,33,rank=1,Monique Scott,eb_down_share_t0,0.5358480730888059,1
candidate_rank_snapshot,eb_down_share_t0,39,rank=2,Marty Quinn,eb_down_share_t0,0.5075704594607243,2
candidate_rank_snapshot,eb_down_share_t0,40,rank=3,Michael Scott Jr.,eb_down_share_t0,0.4966820335392036,3
candidate_rank_snapshot,eb_down_share_t0,22,rank=143,Timmy Knudsen,eb_down_share_t0,0.006103917611433106,143
candidate_rank_snapshot,eb_down_share_t0,27,rank=144,Jessie Fuentes,eb_down_share_t0,0.004183305130754952,144
candidate_rank_snapshot,eb_down_share_t0,33,rank=145,Felix Cardona Jr.,eb_down_share_t0,0.002868750462655273,145
candidate_rank_snapshot,eb_down_share_t01,33,rank=1,Monique Scott,eb_down_share_t01,0.5358480730888059,1
candidate_rank_snapshot,eb_down_share_t01,39,rank=2,Marty Quinn,eb_down_share_t01,0.5075704594607243,2
candidate_rank_snapshot,eb_down_share_t01,40,rank=3,Michael Scott Jr.,eb_down_share_t01,0.4966820335392036,3
candidate_rank_snapshot,eb_down_share_t01,22,rank=143,Timmy Knudsen,eb_down_share_t01,0.006103917611433106,143
candidate_rank_snapshot,eb_down_share_t01,27,rank=144,Jessie Fuentes,eb_down_share_t01,0.004183305130754952,144
candidate_rank_snapshot,eb_down_share_t01,33,rank=145,Felix Cardona Jr.,eb_down_share_t01,0.002868750462655273,145
candidate_rank_snapshot,eb_far_down_share_t0,40,rank=1,Michael Scott Jr.,eb_far_down_share_t0,0.6417496687737785,1
candidate_rank_snapshot,eb_far_down_share_t0,65,rank=2,Anthony Beale,eb_far_down_share_t0,0.6337514640114089,2
candidate_rank_snapshot,eb_far_down_share_t0,39,rank=3,Marty Quinn,eb_far_down_share_t0,0.5376071428129742,3
candidate_rank_snapshot,eb_far_down_share_t0,21,rank=143,Maria Hadden,eb_far_down_share_t0,0.026437182696377928,143
candidate_rank_snapshot,eb_far_down_share_t0,22,rank=144,Timmy Knudsen,eb_far_down_share_t0,0.022160358167062046,144
candidate_rank_snapshot,eb_far_down_share_t0,27,rank=145,Jessie Fuentes,eb_far_down_share_t0,0.01631198928009529,145
candidate_rank_snapshot,eb_far_down_share_t01,40,rank=1,Michael Scott Jr.,eb_far_down_share_t01,0.6417496687737785,1
candidate_rank_snapshot,eb_far_down_share_t01,65,rank=2,Anthony Beale,eb_far_down_share_t01,0.6337514640114089,2
candidate_rank_snapshot,eb_far_down_share_t01,39,rank=3,Marty Quinn,eb_far_down_share_t01,0.5376071428129742,3
candidate_rank_snapshot,eb_far_down_share_t01,21,rank=143,Maria Hadden,eb_far_down_share_t01,0.026437182696377928,143
candidate_rank_snapshot,eb_far_down_share_t01,22,rank=144,Timmy Knudsen,eb_far_down_share_t01,0.022160358167062046,144
candidate_rank_snapshot,eb_far_down_share_t01,27,rank=145,Jessie Fuentes,eb_far_down_share_t01,0.01631198928009529,145
candidate_rank_snapshot,eb_net_restrictive_t0,33,rank=1,Monique Scott,eb_net_restrictive_t0,0.6811643925182964,1
candidate_rank_snapshot,eb_net_restrictive_t0,39,rank=2,Marty Quinn,eb_net_restrictive_t0,0.6126784807360109,2
candidate_rank_snapshot,eb_net_restrictive_t0,40,rank=3,Michael Scott Jr.,eb_net_restrictive_t0,0.6106153517286714,3
candidate_rank_snapshot,eb_net_restrictive_t0,27,rank=143,Jessie Fuentes,eb_net_restrictive_t0,0.11521979473531141,143
candidate_rank_snapshot,eb_net_restrictive_t0,41,rank=144,James Cappleman,eb_net_restrictive_t0,0.10206339120496499,144
candidate_rank_snapshot,eb_net_restrictive_t0,7,rank=145,Billy Ocasio,eb_net_restrictive_t0,0.06484850254070706,145
candidate_rank_snapshot,eb_net_restrictive_t01,33,rank=1,Monique Scott,eb_net_restrictive_t01,0.6811643925182964,1
candidate_rank_snapshot,eb_net_restrictive_t01,39,rank=2,Marty Quinn,eb_net_restrictive_t01,0.6126784807360109,2
candidate_rank_snapshot,eb_net_restrictive_t01,40,rank=3,Michael Scott Jr.,eb_net_restrictive_t01,0.6106153517286714,3
candidate_rank_snapshot,eb_net_restrictive_t01,27,rank=143,Jessie Fuentes,eb_net_restrictive_t01,0.11521979473531141,143
candidate_rank_snapshot,eb_net_restrictive_t01,41,rank=144,James Cappleman,eb_net_restrictive_t01,0.10206339120496499,144
candidate_rank_snapshot,eb_net_restrictive_t01,7,rank=145,Billy Ocasio,eb_net_restrictive_t01,0.06484850254070706,145
candidate_rank_snapshot,raw_down_share_t0,1,rank=1,Jesse Granato,raw_down_share_t0,1,1
candidate_rank_snapshot,raw_down_share_t0,1,rank=2,Natashia Holmes,raw_down_share_t0,1,2
candidate_rank_snapshot,raw_down_share_t0,3,rank=3,Desmon Yancy,raw_down_share_t0,0.6666666666666666,3
candidate_rank_snapshot,raw_down_share_t0,22,rank=143,Timmy Knudsen,raw_down_share_t0,0,143
candidate_rank_snapshot,raw_down_share_t0,2,rank=144,Virgil E. Jones,raw_down_share_t0,0,144
candidate_rank_snapshot,raw_down_share_t0,2,rank=145,William Banks,raw_down_share_t0,0,145
candidate_rank_snapshot,raw_down_share_t01,1,rank=1,Jesse Granato,raw_down_share_t01,1,1
candidate_rank_snapshot,raw_down_share_t01,1,rank=2,Natashia Holmes,raw_down_share_t01,1,2
candidate_rank_snapshot,raw_down_share_t01,3,rank=3,Desmon Yancy,raw_down_share_t01,0.6666666666666666,3
candidate_rank_snapshot,raw_down_share_t01,22,rank=143,Timmy Knudsen,raw_down_share_t01,0,143
candidate_rank_snapshot,raw_down_share_t01,2,rank=144,Virgil E. Jones,raw_down_share_t01,0,144
candidate_rank_snapshot,raw_down_share_t01,2,rank=145,William Banks,raw_down_share_t01,0,145
candidate_rank_snapshot,raw_far_down_share_t0,3,rank=1,Desmon Yancy,raw_far_down_share_t0,1,1
candidate_rank_snapshot,raw_far_down_share_t0,2,rank=2,Eugene Schulter,raw_far_down_share_t0,1,2
candidate_rank_snapshot,raw_far_down_share_t0,1,rank=3,Jesse Granato,raw_far_down_share_t0,1,3
candidate_rank_snapshot,raw_far_down_share_t0,22,rank=143,Timmy Knudsen,raw_far_down_share_t0,0,143
candidate_rank_snapshot,raw_far_down_share_t0,2,rank=144,Virgil E. Jones,raw_far_down_share_t0,0,144
candidate_rank_snapshot,raw_far_down_share_t0,2,rank=145,William Banks,raw_far_down_share_t0,0,145
candidate_rank_snapshot,raw_far_down_share_t01,3,rank=1,Desmon Yancy,raw_far_down_share_t01,1,1
candidate_rank_snapshot,raw_far_down_share_t01,2,rank=2,Eugene Schulter,raw_far_down_share_t01,1,2
candidate_rank_snapshot,raw_far_down_share_t01,1,rank=3,Jesse Granato,raw_far_down_share_t01,1,3
candidate_rank_snapshot,raw_far_down_share_t01,22,rank=143,Timmy Knudsen,raw_far_down_share_t01,0,143
candidate_rank_snapshot,raw_far_down_share_t01,2,rank=144,Virgil E. Jones,raw_far_down_share_t01,0,144
candidate_rank_snapshot,raw_far_down_share_t01,2,rank=145,William Banks,raw_far_down_share_t01,0,145
